FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,QCLabel
0.4248,0.1507,0.37,0.089,0.1052,0.0563,0.0247,0.5822,0.378,0.1737,0.1231,D
0.177,0.3938,0,0.0822,0.1052,0.1549,0.1767,0.4941,0.5906,0.2036,0.1231,D
0.2743,0.1986,0.76,0.0616,1,0.0986,0.1378,0.4941,0.252,0.5569,0.1538,D
0.4779,0.1301,0.47,0.1164,0.1219,0.1831,0.0954,0.7034,0.4882,0.2814,0.3231,B
0.292,0.1438,0.23,0.0548,0.1085,0.2394,0.1378,0.4537,0.4331,0.1916,0.1385,D
0.2124,0.5856,0.04,0.0753,0.1252,0.1549,0.2155,0.4097,0.4803,0.1617,0.1538,E
0.3009,0.274,0.03,0.0548,0.0968,0.1268,0.1025,0.417,0.4724,0.1437,0.2462,D
0.292,0.1712,0.23,0.0616,0.1085,0.3099,0.1519,0.4574,0.4252,0.2036,0.1385,D
0.6991,0.3014,0.49,0.1027,0.0868,0.0563,0.0742,0.7217,0.2677,0.3234,0.3846,D
0.6372,0.0959,0.52,0.0616,0.0985,0.0704,0.0141,0.4941,0.3622,0.2335,0.2769,B
0.3097,0.5137,0,0.1644,0.1402,0.3521,0.1943,0.7474,0.6772,0.2335,0.2154,E
0.292,0.1575,0.46,0.1849,0.1102,0.1972,0.1095,0.5308,0.4803,0.3174,0.6769,A
0.2035,0.2877,0.04,0.1438,0.1085,0.0845,0.0742,0.6336,0.748,0.3473,0.1538,C
0.6106,0.0411,0.51,0.2123,0.1536,0.0423,0.0601,0.6997,0.4252,0.3832,0.2615,C
0.292,0.2911,0.06,0.2123,0.1252,0.3662,0.1943,0.4721,0.4882,0.2036,0.3538,C
0.6106,0.0411,0.51,0.2123,0.1536,0.0423,0.0601,0.6997,0.4252,0.3832,0.2615,C
0.5575,0.1712,0.58,0.2123,0.0985,0.2254,0.2085,0.6814,0.378,0.2695,0.2615,D
0.3363,0.4075,0.2,0.1027,0.1068,0.1268,0.1131,0.5345,0.4488,0.1856,0.1538,D
0.2566,0.363,0.18,0.4178,0.1269,0.3662,0.311,0.6667,0.5039,0.2635,0.1538,D
0.292,0.2911,0.06,0.2123,0.1252,0.3662,0.1943,0.4721,0.4882,0.2036,0.3538,C
0.2035,0.2877,0.04,0.1438,0.1085,0.0845,0.0742,0.6336,0.748,0.3473,0.1538,C
0.6106,0.0411,0.51,0.2123,0.1536,0.0423,0.0601,0.6997,0.4252,0.3832,0.2615,C
0.5044,0.137,0.45,0.3767,0.1018,0.0563,0.0247,0.5529,0.3858,0.2934,0.6462,A
0.3805,0.1918,0.32,0.3219,0.1252,0.1268,0.1449,0.663,0.5039,0.2635,0.3231,B
0.6018,0.0959,0.44,0.1849,0.0985,0.0704,0.0459,0.6263,0.2992,0.2934,0.1385,C
0.2743,0.1027,0.68,0.1781,0.5776,0.0563,0.0141,0.5235,0.4016,0.4491,0.2308,B
0.2655,0.274,0.12,0.1438,0.0918,0.1549,0.1661,0.5162,0.4882,0.1437,0.1077,D
0.3805,0.1918,0.32,0.3219,0.1252,0.1268,0.1449,0.663,0.5039,0.2635,0.3231,B
0.469,0.3219,0.07,0.1712,0.1503,0.4366,0.2297,0.7401,0.4488,0.2275,0.2154,D
0.469,0.3219,0.07,0.1712,0.1503,0.4366,0.2297,0.7401,0.4488,0.2275,0.2154,D
0.6549,0.226,0.55,0.0753,0.1018,0.338,0.1519,0.707,0.2835,0.2575,0.2923,C
0.2566,0.1918,0.12,0.1438,0.1336,0.3944,0.1661,0.4868,0.4961,0.2216,0.2923,C
0.3628,0.274,0.09,0.1096,0.1319,0.2676,0.1519,0.5529,0.4724,0.3174,0.3385,B
0.6195,0.2055,0.53,0.1644,0.1553,0.4507,0.3251,0.8025,0.3622,0.3713,0.1231,D
0.3628,0.274,0.09,0.1096,0.1319,0.2676,0.1519,0.5529,0.4724,0.3174,0.3385,B
0.5664,0.0548,0.48,0.0753,0.5526,0.0704,0.0424,0.5749,0.4409,0.2275,0.3231,D
0.5133,0.2945,0.23,0.1233,0.1319,0.2394,0.1484,0.685,0.378,0.1856,0.2923,C
0.2035,0.1644,0.25,0.1027,0.1436,0.0563,0.0353,0.4648,0.5276,0.1617,0.2615,C
0.7699,0.1507,0.52,0.1575,0.1369,0.2254,0.1661,0.8319,0.2441,0.2874,0.1692,C
0.5487,0.2603,0.46,0.1096,0.1018,0.0563,0.0742,0.7364,0.2441,0.1856,0.1692,D
0.531,0.4863,0.37,0.1164,0.1235,0.3521,0.2261,0.5896,0.3307,0.1138,0.2308,D
0.2212,0.3493,0.06,0.0753,0.1185,0.0986,0.0813,0.6226,0.7323,0.2395,0.1846,D
0.2301,0.363,0.02,0.0959,0.1369,0.0563,0.0883,0.6777,0.7323,0.2814,0.2,D
0.2035,0.3767,0.06,0.0822,0.1135,0.0986,0.0954,0.6153,0.7402,0.2275,0.1846,D
0.2566,0.2808,0.06,0.1164,0.1235,0.2676,0.1343,0.4721,0.5039,0.1557,0.3538,C
0.5752,0.0411,0.48,0.0411,0.0935,0.0845,0.0318,0.5308,0.378,0.1856,0.2615,C
0.3274,0.4007,0.12,0.1164,0.1336,0.1549,0.0777,0.685,0.6063,0.2335,0.2462,D
0.2478,0.3767,0.12,0.0479,0.2905,0.0563,0.053,0.4354,0.5118,0.1257,0.1692,D
0.3363,0.363,0.6,0.0822,0.1669,0.1549,0.2968,0.5308,0.3622,0.1138,0.1231,D
0.5044,0.2808,0.48,0.1096,0.0851,0.0704,0.0671,0.7144,0.2992,0.1557,0.1385,C
0.2655,0.3425,0.32,0.089,0.1169,0.0845,0.1696,0.4794,0.4882,0.1138,0.1538,D
0.5044,0.1986,0.42,0.1027,0.3356,0.0704,0.0283,0.685,0.3543,0.1737,0.1692,C
0.5044,0.2123,0.44,0.1027,0.3372,0.0563,0.0212,0.685,0.3543,0.1796,0.1692,C
0.2478,0.1164,0.38,0.0548,0.0835,0.1127,0.0848,0.4941,0.5276,0.1198,0.1692,C
0.5044,0.2808,0.48,0.1096,0.0851,0.0704,0.0671,0.7144,0.2992,0.1557,0.1385,C
0.292,0.2808,0.24,0.0753,0.1002,0.1972,0.3498,0.4354,0.4173,0.1257,0.1538,C
0.3894,0.2329,0.31,0.1301,0.1352,0.2535,0.3251,0.5932,0.4567,0.1796,0.1692,C
0.354,0.2397,0.3,0.1438,0.1068,0.4085,0.4558,0.5529,0.4409,0.1198,0.1538,D
0.2478,0.1644,0.29,0.1164,0.1252,0.3521,0.2332,0.4684,0.5118,0.2096,0.4,D
0.2212,0.1575,0.29,0.1096,0.1402,0.2676,0.1661,0.4501,0.5354,0.1916,0.4,C
0.4425,0.3014,0.23,0.1712,0.1503,0.507,0.3039,0.6997,0.4409,0.1916,0.2615,D
0.4425,0.4452,0.12,0.137,0.1169,0.4085,0.2403,0.63,0.4409,0.1856,0.3077,C
0.4602,0.3699,0.39,0.1575,0.1185,0.2817,0.1873,0.6483,0.4961,0.2275,0.4769,B
0.4425,0.4452,0.12,0.137,0.1169,0.4085,0.2403,0.63,0.4409,0.1856,0.3077,C
0.4602,0.3699,0.39,0.1575,0.1185,0.2817,0.1873,0.6483,0.4961,0.2275,0.4769,B
0.4159,0.3356,0.26,0.1712,0.1302,0.338,0.2862,0.7107,0.3937,0.1737,0.2,D
0.2832,0.3425,0.05,0.0959,0.1119,0.0704,0.0424,0.5345,0.4331,0.1796,0.1385,D
0.5044,0.3219,0.42,0.1301,0.1302,0.4789,0.2367,0.6557,0.4252,0.2216,0.1692,C
0.4779,0.2534,0.2,0.6918,0.0985,0.169,0.1555,0.8392,0.3307,0.2156,0.1231,C
0.4779,0.2534,0.2,0.6918,0.0985,0.169,0.1555,0.8392,0.3307,0.2156,0.1231,C
0.6195,0.2808,0.66,0.1884,0.182,0.0704,0.0283,0.5675,0.2441,0.2455,0.4769,B
0.5044,0.2192,0.5,0.2466,0.1586,0.0563,0.0247,0.5822,0.4252,0.2994,0.4769,D
0.7788,0.1027,0.62,0.1164,0.1169,0.0704,0.053,0.7438,0.3307,0.2036,0.2,C
0.5398,0.2329,0.39,0.0753,0.0818,0.0845,0.0318,0.5896,0.3465,0.1737,0.1692,D
0.4956,0.1644,0.64,0.137,0.1836,0.1268,0.1237,0.5822,0.3858,0.1976,0.6308,C
0.4956,0.1644,0.64,0.137,0.1836,0.1268,0.1237,0.5822,0.3858,0.1976,0.6308,C
0.3009,0.3151,0.28,0.1575,0.0902,0.2817,0.3816,0.5308,0.378,0.1257,0.1538,C
0.3363,0.3014,0.08,0.0822,0.1553,0.2113,0.1343,0.4207,0.3071,0.1138,0.4,D
0.292,0.363,0.01,0.1096,0.1102,0.2254,0.1131,0.4574,0.4724,0.2455,0.5077,B
0.646,0.3938,0.53,0.1712,0.1937,0.0845,0.053,0.6703,0.3386,0.3054,0.5846,B
0.3805,0.2123,0.45,0.0685,0.0668,0.0704,0.0353,0.3473,0.4803,0.2216,0.6308,C
0.2832,0.2123,0.32,0.1301,0.1135,0.3944,0.1837,0.5382,0.4488,0.1856,0.2923,D
0.6903,0.2534,0.58,0.1438,0.1519,0.3803,0.3286,0.7878,0.3307,0.4012,0.4769,C
0.6991,0.1096,0.54,0.0959,0.1169,0.1549,0.0813,0.707,0.2913,0.6168,0.2154,B
0.6726,0.1507,0.5,0.1027,0.0902,0.1268,0.053,0.7291,0.2992,0.509,0.1231,C
0.531,0.2055,0.48,0.1233,0.0885,0.0563,0.0424,0.5235,0.3701,0.3234,0.4462,C
0.5575,0.1849,0.47,0.0616,0.177,0.0704,0.0283,0.5969,0.4409,0.2515,0.2154,C
0.5575,0.1849,0.47,0.0616,0.177,0.0704,0.0283,0.5969,0.4409,0.2515,0.2154,C
0.646,0.3082,0.5,0.1164,0.1169,0.0704,0.0919,0.7731,0.2992,0.2695,0.3538,C
0.2124,0.387,0,0.0685,0.0918,0.5493,0.2014,0.5749,0.6772,0.2874,0.2308,D
0.177,0.476,0.02,0.1233,0.1002,0.2254,0.0989,0.3987,0.6614,0.3353,0.6,B
0.8142,0.2534,0.67,0.1438,0.1352,0.0704,0.0318,0.6263,0.2205,0.3593,0.5538,C
0.4425,0.3014,0.31,0.1301,0.1285,0.1972,0.1413,0.5749,0.2913,0.3533,0.2462,C
0.3982,0.4555,0,0.1164,0.1352,0.1408,0.0777,0.685,0.4882,0.3174,0.1538,C
0.5398,0.3767,0.22,0.1233,0.1586,0.2254,0.0989,0.7584,0.4252,0.3892,0.2308,C
0.3982,0.4623,0,0.1164,0.1402,0.1408,0.0707,0.685,0.4803,0.2994,0.1538,C
0.2743,0.3733,0,0.1027,0.1302,0.0986,0.0459,0.5382,0.4173,0.2395,0.1385,D
0.7876,0.2808,0.79,0.2671,0.1803,0.3099,0.2509,0.8612,0.3465,0.2635,0.7077,D
0.1327,0.0616,0.4,0.0342,0.0902,0.5563,0.5618,0.083,0.4016,0.1557,0.5385,C
0.1858,0.4315,0.01,0.1027,0.1102,0.2254,0.0919,0.3987,0.6378,0.1677,0.6769,C
0.6106,0.1986,0.52,0.1438,0.1135,0.3944,0.1731,0.7364,0.4094,0.3293,0.4,D
0.5221,0.2055,0.66,0.1404,0.1736,0.1549,0.0813,0.5088,0.3937,0.2515,0.5077,B
0.646,0.2123,0.66,0.1507,0.1619,0.1268,0.0601,0.7291,0.3228,0.3114,0.3077,B
0.708,0.1781,0.66,0.1164,0.1269,0.1268,0.1237,0.8025,0.3386,0.2096,0.2154,C
0.3186,0.3973,0.23,0.0753,0.1452,0.1831,0.265,0.5308,0.3543,0.2216,0.1538,D
0.354,0.226,0.31,0.1164,0.1235,0.2817,0.1555,0.5969,0.4961,0.3473,0.2308,C
0.646,0.3151,0.66,0.1096,0.1002,0.0704,0.1095,0.6703,0.2441,0.1377,0.2462,D
0.6991,0.2329,0.63,0.0753,0.0985,0.0704,0.0318,0.641,0.1969,0.3234,0.2769,D
0.7257,0.339,0.66,0.3356,0.1185,0.0845,0.1272,0.8906,0.2598,0.2395,0.2462,B
0.4779,0.2055,0.5,0.1712,0.1586,0.0845,0.053,0.5749,0.4094,0.3593,0.5231,C
0.7257,0.339,0.66,0.3356,0.1185,0.0845,0.1272,0.8906,0.2598,0.2395,0.2462,B
0.5133,0.3116,0.61,0.1164,0.1068,0.1408,0.0636,0.7291,0.3307,0.2156,0.0923,D
0.5044,0.1507,0.52,0.1301,0.2454,0.1972,0.2438,0.7144,0.3465,0.1856,0.1538,D
0.4248,0.1027,0.53,0.1027,0.1035,0.0704,0.0424,0.4501,0.3622,0.479,0.5538,B
0.2035,0.4418,0.02,0.0959,0.0851,0.4789,0.2014,0.5455,0.6535,0.2695,0.2308,D
0.292,0.0822,0.4,0.0479,0.0735,0.1408,0.0671,0.4868,0.4567,0.3234,0.0462,C
0.3982,0.1096,0.48,0.0616,0.0918,0.3521,0.1413,0.4868,0.4567,0.4251,0.3385,C
0.2478,0.2945,0.22,0.089,0.1569,0.1549,0.2332,0.428,0.2441,0.1796,0.1231,D
0.8319,0.1986,0.63,0.1986,0.1285,0.0704,0.1449,0.8319,0.2126,0.2874,0.3692,C
0.6106,0.2877,0.71,0.2397,0.187,0.0704,0.0318,0.6116,0.2126,0.2994,0.5231,B
0.6106,0.226,0.5,0.1438,0.1102,0.2535,0.1449,0.7511,0.4094,0.4671,0.4,C
0.4248,0.1027,0.53,0.1027,0.1035,0.0704,0.0424,0.4501,0.3622,0.479,0.5538,B
0.6018,0.3459,0.66,0.363,0.1269,0.0704,0.0636,0.641,0.2913,0.3952,0.7538,C
0.3274,0.2055,0.38,0.1096,0.1369,0.3239,0.1908,0.5749,0.4488,0.2216,0.3692,C
0.3274,0.0959,0.42,0.0753,0.1135,0.1408,0.0742,0.5382,0.3701,0.2814,0.1538,C
0.8053,0.2021,0.68,0.137,0.1219,0.2254,0.1307,0.8319,0.252,0.2814,0.2462,C
0.3274,0.0959,0.42,0.0753,0.1135,0.1408,0.0742,0.5382,0.3701,0.2814,0.1538,C
0.3274,0.0959,0.42,0.0753,0.1135,0.1408,0.0742,0.5382,0.3701,0.2814,0.1538,C
0.2743,0.2671,0.28,0.0822,0.1252,0.3099,0.1696,0.5822,0.5354,0.2455,0.1231,D
0.2478,0.3493,0.07,0.1027,0.1302,0.1408,0.1095,0.5749,0.5433,0.2575,0.2,C
0.2832,0.2877,0.26,0.0753,0.1269,0.3099,0.1484,0.5896,0.5276,0.2455,0.1231,C
0.3274,0.3699,0.15,0.0685,0.1119,0.2254,0.1272,0.5235,0.4488,0.1257,0.1846,C
0.2832,0.2329,0.26,0.0685,0.1269,0.3099,0.1661,0.5896,0.5433,0.2455,0.1231,C
0.4425,0.1781,0.31,0.1096,0.1402,0.2113,0.1519,0.5969,0.3543,0.2216,0.2462,B
0.0885,0.5,0.05,0.0342,0.0551,0.1549,0.2898,0.1711,0.6457,0.2934,0.6923,A
0.8053,0.2021,0.68,0.137,0.1219,0.2254,0.1307,0.8319,0.252,0.2814,0.2462,C
0.4336,0.1712,0.52,0.0753,0.1169,0.0704,0.0707,0.5822,0.3465,0.1078,0.1692,D
0.3363,0.3733,0.61,0.0753,0.1669,0.169,0.3145,0.5088,0.3307,0.1257,0.1077,D
0.7168,0.3288,0.65,0.0959,0.0851,0.0704,0.0671,0.707,0.2283,0.1437,0.2308,D
0.6549,0.1712,0.76,0.226,0.0902,0.0845,0.1131,0.7584,0.378,0.1617,0.7077,B
0.177,0.4212,0.02,0.4795,0.1836,0.9437,0.417,0.685,0.5748,0.1198,0.2308,D
0.6106,0.3219,0.59,0.1164,0.1252,0.169,0.1519,0.641,0.3465,0.1916,0.4,C
0.6106,0.3219,0.59,0.1164,0.1252,0.169,0.1519,0.641,0.3465,0.1916,0.4,C
0.3628,0.4418,0.22,0.0959,0.0868,0.1127,0.1272,0.4574,0.2835,0.1317,0.1538,D
0.177,0.4212,0.02,0.4795,0.1836,0.9437,0.417,0.685,0.5748,0.1198,0.2308,D
0.2743,0.0959,0.3,0.0548,0.0785,0.2676,0.1131,0.3546,0.4331,0.0838,0.3692,C
0.6726,0.2466,0.54,0.1164,0.1219,0.2535,0.2049,0.7291,0.2835,0.1677,0.3231,C
0.6018,0.3288,0.49,0.1233,0.1219,0.1268,0.1237,0.685,0.3228,0.1796,0.3231,C
0.2743,0.3904,0.05,0.1233,0.1052,0.1972,0.0742,0.5382,0.4094,0.1677,0.1077,D
0.3628,0.1301,0.46,0.0342,0.0785,0.1408,0.0671,0.4794,0.4882,0.2575,0.2615,C
0.4602,0.2192,0.47,0.1096,0.0851,0.1127,0.0777,0.5896,0.3937,0.1916,0.3692,C
0.6549,0.1849,0.66,0.1438,0.1352,0.1549,0.0848,0.6997,0.3465,0.1796,0.3692,B
0.5133,0.1507,0.58,0.1918,0.2705,0.0704,0.0353,0.5088,0.3543,0.2216,0.4462,C
0.6991,0.2329,0.49,0.2466,0.0968,0.3521,0.1519,0.5896,0.2441,0.1437,0.1846,E
0.3894,0.2123,0.34,0.1096,0.1135,0.3521,0.2827,0.6336,0.5039,0.1737,0.1692,C
0.3982,0.226,0.35,0.1027,0.1135,0.3099,0.2544,0.6336,0.5039,0.1737,0.1692,D
0.2212,0.4212,0.16,0.0685,0.1469,0.1972,0.2509,0.4794,0.4173,0.1856,0.1385,D
0.469,0.1918,0.53,0.3973,0.1419,0.0704,0.0459,0.6263,0.4173,0.2934,0.5077,B
0.3717,0.274,0.34,0.1233,0.1252,0.3239,0.4099,0.5969,0.4094,0.1677,0.1692,D
0.354,0.4144,0.24,0.3904,0.1753,0.4225,0.4523,0.8319,0.4567,0.4431,0.1385,D
0.531,0.2466,0.64,0.089,0.1653,0.0704,0.0495,0.5088,0.4094,0.1976,0.5077,C
0.2124,0.3151,0.12,0.0685,0.1319,0.4648,0.417,0.406,0.5512,0.0898,0.3231,D
0.646,0.1781,0.51,0.0753,0.182,0.0845,0.0495,0.6997,0.3937,0.2575,0.3077,C
0.1947,0.4452,0,0.0616,0.0902,0.4648,0.1625,0.5529,0.6929,0.2096,0.2308,D
0.4336,0.3014,0.33,0.1027,0.1285,0.4789,0.2155,0.5235,0.4252,0.2395,0.5231,B
0.177,0.4932,0.03,0.0959,0.0785,0.4366,0.1484,0.3767,0.6142,0.1377,0.6,B
0.2743,0.5753,0.2,0.0753,0.0584,0.1972,0.1908,0.3987,0.4882,0.0659,0.3846,D
0.5221,0.0822,0.47,0.0822,0.0902,0.0704,0.0636,0.5675,0.3228,0.3413,0.4,B
0.2743,0.5753,0.2,0.0753,0.0584,0.1972,0.1908,0.3987,0.4882,0.0659,0.3846,D
0.177,0.4932,0.03,0.0959,0.0785,0.4366,0.1484,0.3767,0.6142,0.1377,0.6,B
0.1593,0.3767,0.08,0.0822,0.0551,0.2535,0.1484,0.3546,0.5906,0.0958,0.4615,C
0.4336,0.4521,0.22,0.0685,0.1085,0.0704,0.0919,0.641,0.4094,0.1377,0.3385,C
0.3982,0.274,0.33,0.0274,0.0968,0.1127,0.0848,0.5675,0.3937,0.1617,0.1385,D
0.7257,0.4932,0.63,0.1027,0.1269,0.169,0.1025,0.707,0.2835,0.1617,0.3077,C
0.5221,0.0822,0.47,0.0822,0.0902,0.0704,0.0636,0.5675,0.3228,0.3413,0.4,B
0.2832,0.2945,0.35,0.089,0.1035,0.2817,0.212,0.5382,0.4016,0.1377,0.1231,D
0.646,0.1712,0.69,0.0959,0.1102,0.1549,0.0636,0.4207,0.2047,0.1916,0.6769,C
0.6814,0.1849,0.63,0.0959,0.1319,0.0704,0.0424,0.7584,0.3307,0.0958,0.1692,D
0.5133,0.1986,0.55,0.1575,0.1068,0.2958,0.1696,0.6997,0.3228,0.3353,0.2308,C
0.6814,0.1849,0.63,0.0959,0.1319,0.0704,0.0424,0.7584,0.3307,0.0958,0.1692,D
0.3009,0.3767,0.3,0.0753,0.0801,0.5211,0.1979,0.4207,0.4094,0.1377,0.2769,C
0.5752,0.226,0.73,0.1575,0.0902,0.0704,0.0565,0.6263,0.3386,0.1976,0.4308,C
0.5133,0.1986,0.55,0.1575,0.1068,0.2958,0.1696,0.6997,0.3228,0.3353,0.2308,C
0.2124,0.3425,0.18,0.0411,0.0835,0.0845,0.1555,0.3693,0.2677,0.1617,0.1385,D
0.708,0.1301,0.72,0.089,0.1002,0.0704,0.0813,0.6336,0.1102,0.2934,0.2154,A
0.646,0.1918,0.65,0.0856,0.0935,0.0845,0.0742,0.641,0.252,0.2096,0.4462,C
0.9735,0.387,0.76,0.1918,0.1469,0.0704,0.1307,0.964,0.1654,0.2096,0.4308,B
0.4779,0.2192,0.49,0.1233,0.1085,0.1408,0.0459,0.4574,0.3858,0.1796,0.4923,B
0.0619,0.3082,0.01,0.0548,0.0701,0.0563,0.0742,0.2445,0.6535,0.3054,0.6308,B
0.4336,0.4212,0.1,0.0822,0.1119,0.0704,0.0883,0.6263,0.3858,0.1377,0.2615,C
0.6991,0.1781,0.6,0.1164,0.1152,0.4225,0.2332,0.6997,0.2835,0.2395,0.3231,D
0.4159,0.2466,0.29,0.0822,0.192,0.0704,0.0353,0.4941,0.378,0.2335,0.4308,D
0.354,0.2808,0.22,0.0753,0.1469,0.0845,0.0742,0.4868,0.3622,0.1377,0.2769,C
0.646,0.1849,0.69,0.1301,0.1386,0.2254,0.1025,0.685,0.2835,0.1677,0.3692,C
0.646,0.1849,0.69,0.1301,0.1386,0.2254,0.1025,0.685,0.2835,0.1677,0.3692,C
0.3363,0.1712,0.53,0.0616,0.6694,0.1127,0.0707,0.5749,0.252,0.4371,0.1077,C
0.1947,0.3014,0.03,0.0548,0.1202,0.2394,0.1025,0.4941,0.5512,0.1796,0.2462,C
0.5133,0.1438,0.63,0.1301,0.1202,0.0563,0.0565,0.7144,0.4094,0.2455,0.4308,B
0.2124,0.0753,0.4,0.0479,0.0851,0.2817,0.2155,0.3767,0.5984,0.1796,0.4154,D
0.5929,0.3425,0.67,0.2945,0.1235,0.0704,0.0459,0.641,0.378,0.2156,0.7692,A
0.3805,0.3219,0.39,0.0959,0.1386,0.0563,0.0565,0.6263,0.4961,0.1497,0.2923,D
0.4071,0.3493,0.21,0.1233,0.1419,0.3944,0.2085,0.641,0.4252,0.1497,0.1846,D
0.5133,0.1438,0.63,0.1301,0.1202,0.0563,0.0565,0.7144,0.4094,0.2455,0.4308,B
0.6195,0.3151,0.66,0.089,0.1035,0.1268,0.1449,0.7878,0.4016,0.1437,0.0923,E
0.4071,0.2123,0.52,0.0959,0.1185,0.1831,0.0601,0.5529,0.4803,0.1677,0.4462,C
0.3274,0.339,0.22,0.1164,0.1252,0.0704,0.0459,0.5969,0.4094,0.1677,0.1385,D
0.5664,0.0959,0.68,0.113,0.1219,0.1268,0.0671,0.5088,0.3465,0.1677,0.5231,D
0.3097,0.3699,0.7,0.089,0.1436,0.338,0.4346,0.5235,0.2677,0.1198,0.0923,D
0.6106,0.1336,0.54,0.0822,0.1202,0.0563,0.0318,0.6336,0.189,0.2216,0.1231,C
0.4779,0.1164,0.4,0.137,0.1436,0.1268,0.0707,0.7731,0.5827,0.3473,0.2,D
0.5044,0.2603,0.42,0.0753,0.0952,0.2817,0.159,0.5969,0.3307,0.2335,0.4769,C
0.3717,0.2329,0.45,0.1164,0.0885,0.0845,0.0424,0.3399,0.4567,0.2754,0.8615,C
0.6018,0.1644,0.69,0.0822,0.1302,0.0704,0.053,0.7291,0.3386,0.1737,0.1231,C
0.3628,0.4795,0.02,0.0205,0.0968,0.493,0.1484,0.3767,0.3622,0.1497,0.2154,D
0.7434,0.137,0.65,0.1164,0.1352,0.1972,0.1449,0.6997,0.2441,0.1677,0.3385,D
0.4425,0.2877,0.42,0.1027,0.1152,0.338,0.1625,0.5088,0.3622,0.2275,0.4615,C
0.6991,0.1712,0.55,0.1164,0.1185,0.338,0.2191,0.6924,0.3228,0.2934,0.3077,C
0.469,0.1575,0.55,0.0822,0.0835,0.0563,0.0283,0.5162,0.4094,0.2754,0.3385,D
0.5221,0.1096,0.51,0.0548,0.1135,0.1268,0.0636,0.5969,0.3622,0.3353,0.1538,C
0.4425,0.3836,0.24,0.089,0.1252,0.0563,0.0777,0.641,0.315,0.1617,0.2769,D
0.4159,0.1027,0.41,0.0753,0.1319,0.0704,0.0353,0.5822,0.4252,0.2216,0.2,D
0.5133,0.0822,0.49,0.0616,0.1052,0.0704,0.0495,0.5602,0.3465,0.4371,0.4,C
0.4425,0.3836,0.24,0.089,0.1252,0.0563,0.0777,0.641,0.315,0.1617,0.2769,D
0.4248,0.387,0.11,0.1233,0.1085,0.0704,0.0883,0.6116,0.3543,0.2216,0.2615,C
0.531,0.1096,0.39,1,0.0952,0.0704,0.0601,0.92,0.2992,0.1976,0.1231,D
0.4248,0.1233,0.56,0.1301,0.1135,0.0704,0.0389,0.4648,0.3228,0.3533,0.5077,A
0.531,0.1644,0.59,0.089,0.2337,0.0704,0.0424,0.6263,0.2362,0.4311,0.1538,D
0.531,0.1644,0.6,0.089,0.2337,0.0845,0.0424,0.6263,0.2362,0.4371,0.1538,D
0.531,0.2192,0.68,0.2192,0.1703,0.0704,0.0636,0.5088,0.252,0.1976,0.7692,C
0.4956,0.3767,0.39,0.0685,0.0701,0.0704,0.0389,0.5529,0.3386,0.0838,0.2462,D
0.4956,0.3767,0.39,0.0685,0.0701,0.0704,0.0389,0.5529,0.3386,0.0838,0.2462,D
0.4956,0.3596,0.36,0.0616,0.0684,0.0563,0.0283,0.5969,0.3386,0.0539,0.2462,C
0.6195,0.137,0.55,0.1301,0.1152,0.4789,0.2155,0.7438,0.4567,0.3533,0.3692,B
0.4159,0.1849,0.4,0.1164,0.1018,0.1268,0.0707,0.6116,0.4724,0.2515,0.2769,C
0.4159,0.4486,0.27,0.1301,0.1102,0.3239,0.1767,0.6116,0.4488,0.2036,0.3385,C
0.4071,0.1986,0.5,0.1096,0.0718,0.1549,0.0671,0.3767,0.4724,0.2754,0.7538,B
0.3805,0.1918,0.51,0.1164,0.0668,0.169,0.0742,0.362,0.4567,0.3413,0.7692,B
0.3628,0.3904,0.31,0.1438,0.1235,0.3099,0.265,0.7438,0.5827,0.2455,0.4923,C
0.1681,0.1849,0.23,0.5068,0.0651,0.3803,0.3004,0.3767,0.5512,0.1317,0.5692,C
0.5398,0.1575,0.53,0.1164,0.0968,0.0563,0.0353,0.5235,0.3228,0.1916,0.4,A
0.2832,0.274,0.25,0.0685,0.1152,0.1831,0.1131,0.6116,0.5433,0.1916,0.0923,C
0.2301,0.1507,0.32,0.1096,0.1302,0.5915,0.3781,0.4794,0.4567,0.2754,0.4154,D
0.5398,0.1575,0.53,0.1164,0.0968,0.0563,0.0353,0.5235,0.3228,0.1916,0.4,A
0.3628,0.3904,0.31,0.1438,0.1235,0.3099,0.265,0.7438,0.5827,0.2455,0.4923,C
0.2832,0.274,0.25,0.0685,0.1152,0.1831,0.1131,0.6116,0.5433,0.1916,0.0923,C
0.5133,0.2192,0.73,0.387,0.1035,0.5211,0.2473,0.6557,0.3386,0.3114,0.5538,B
0.5133,0.2192,0.73,0.387,0.1035,0.5211,0.2473,0.6557,0.3386,0.3114,0.5538,B
0.5221,0.0959,0.47,0.0685,0.1102,0.0704,0.0636,0.5529,0.3465,0.4251,0.3846,B
0.5221,0.0822,0.42,0.0616,0.1085,0.0704,0.0565,0.5529,0.3701,0.4311,0.3692,B
0.4956,0.2534,0.63,0.137,0.1002,0.1268,0.0707,0.4941,0.3307,0.2695,0.6308,B
0.5133,0.0822,0.46,0.0616,0.1052,0.0704,0.053,0.5529,0.4016,0.4132,0.3692,B
0.5841,0.3767,0.55,0.0959,0.1202,0.0704,0.0247,0.7291,0.3386,0.2275,0.1692,C
